,company_id,assets,nace_2digit,nace_4digit,countryisocode,is_biotech
437,7666164,42574919000.0,65.0,6511.0,FI,False
438,7687057,19278388305.0,64.0,6420.0,FR,False
439,7744297,,65.0,6511.0,SE,False
440,7777816,,,,NO,False
441,7782853,3939681.0,70.0,7022.0,BE,False
442,7796256,2446002.0,72.0,7211.0,BE,True
443,7807729,,,,BE,False
444,7822719,,,,AT,False
445,7840268,410598000000.0,64.0,6419.0,FR,False
446,7841308,,,,CA,False
447,7854453,,68.0,8411.0,BE,False
448,7863900,17550673000.0,64.0,6419.0,FR,False
449,7947436,2031.0,,,NO,False
450,7995669,,,,BE,False
451,8001582,,,,NO,False
452,8006139,4463093.0,86.0,7211.0,BE,True
453,8018082,69231316.0,69.0,6920.0,BE,False
454,8042074,197074334.0,72.0,7211.0,BE,True
455,8051655,,,,BE,False
456,8055302,,,,SE,False
457,8104225,,,,BE,False
458,8109407,133727235671.0,64.0,6419.0,SE,False
459,8120593,897949784.0,65.0,6511.0,SE,False
460,8127065,15111398000.0,64.0,6419.0,FR,False
461,8139747,43042910.0,64.0,6420.0,SE,False
462,8152645,4876016.0,73.0,7320.0,BE,False
463,8168542,,,,NO,False
464,8168975,,,,FR,False
465,8198539,,,,LU,False
466,8199599,24933000.0,66.0,6629.0,NL,False
467,8215885,11499840000.0,64.0,6419.0,FR,False
468,8217414,,,,AT,False
469,8280780,,,,US,False
470,8302460,5474932.0,72.0,7211.0,BE,True
471,8315735,,,,GB,False
472,8317045,53128981000.0,65.0,6500.0,FI,False
473,8328673,,,,SE,False
474,8334037,,,,ZA,False
475,8361925,337645000.0,30.0,3030.0,BE,False
476,8362198,,,,FI,False
477,8364880,321938000.0,64.0,6419.0,AT,False
478,8370178,7757250.0,71.0,7112.0,BE,False
479,8370411,,,,CH,False
480,8375845,,,,FR,False
481,8473446,13092060000.0,64.0,6419.0,AT,False
482,8477527,140782772.0,64.0,6420.0,BE,False
483,8488638,,,,BE,False
484,8498027,544860637.0,65.0,6511.0,SE,False
485,8510642,308512173.0,35.0,3514.0,BE,False
486,8515359,2054346161.0,64.0,6420.0,BE,False
487,8524135,29862195.0,64.0,6630.0,SE,False
488,8533554,213879619.0,70.0,7022.0,BE,False
489,8542713,,,,NL,False
490,8555814,77600742.0,70.0,7022.0,FR,False
491,8560059,10536579000.0,64.0,6419.0,FR,False
492,8603616,,,,AT,False
493,8640430,,,,FI,False
494,8652784,,,,AT,False
495,8697100,1244865000.0,64.0,6419.0,AT,False
496,8729155,,,,MX,False
497,8786487,102274374.0,70.0,7022.0,NO,False
498,8826550,,,,BE,False
499,8834494,,,,SE,False
500,8843120,4003962.0,71.0,7120.0,BE,False
501,8844432,,,,AT,False
502,8859602,,,,BE,False
503,8918338,,,,AT,False
504,8982192,,,,HK,False
505,8998422,,,,AT,False
506,9005208,,,,BE,False
507,9024927,,,,ES,False
508,9049857,,,,SE,False
509,9055170,,,,NO,False
510,9060405,1313271000000.0,64.0,6419.0,FR,False
511,9092150,,,,BE,False
512,9102677,49440000.0,64.0,6499.0,AT,False
513,9122772,436407656.0,65.0,6511.0,SE,False
514,9127926,,,,BE,False
515,9153875,631157000.0,64.0,6419.0,AT,False
516,9164485,,,,NO,False
517,9186111,,,,BE,False
518,9214066,284615986.0,66.0,6630.0,NO,False
519,9228522,,,,BE,False
520,9230371,,,,BE,False
521,9263168,8563100000.0,64.0,6419.0,FR,False
522,9264042,,,,BE,False
523,9265180,4161889225.0,64.0,6430.0,FR,False
524,9272210,,,,FR,False
525,9278672,,,,BE,False
526,9295748,,,,US,False
527,9305815,,,,GB,False
528,9349135,1698950000.0,64.0,6419.0,AT,False
529,9385560,256909000.0,64.0,6419.0,AT,False
530,9421670,,,,BE,False
531,9437765,10939000000.0,65.0,6500.0,FI,False
532,9444499,9259254000.0,64.0,6419.0,FR,False
533,9498626,,,,FR,False
534,9501298,333792863.0,70.0,7022.0,BE,False
535,9523637,,,,SE,False
536,9534862,,,,BE,False
537,9536418,,,,SA,False
538,9540285,,,,FR,False
539,9580194,,,,US,False
540,9613608,57345805000.0,64.0,6419.0,FR,False
541,9624772,308398557000.0,64.0,6419.0,ES,False
542,9625409,7446344000.0,65.0,6511.0,ES,False
